ID,GaiaDR2,CLHW,RA_ICRS,DE_ICRS,__B-V_0,Vmag,__V-Ks_0,Prot,e_Prot,P90,Class,Binary,_RA.icrs,_DE.icrs,Teff
618539,5339401641913283072,13824,167.35092,-58.72761,0.821,14.324,1.876,6.3962,0.9555,0.0284,3,0,167.35092,-58.72761,5074.3
618394,5339394323288436608,16353,167.33904,-58.81681,1.379,16.855,3.374,10.0044,0.2949,0.019,3,0,167.33904,-58.81681,4182.9
618247,5339401126517113472,17842,167.32929,-58.76006,1.284,16.197,3.098,12.9536,0.1203,0.0158,3,0,167.32929,-58.76006,4428.1
615275,5340152230387020288,36499,167.22421,-58.68867,1.274,16.283,3.045,10.7061,2.7941,0.02,3,0,167.22421,-58.68867,4462.1
614931,5340152848862460928,37931,167.21496,-58.62111,0.65,13.378,1.456,5.8337,0.4992,0.034,3,0,167.21496,-58.62111,5688.3
608606,5340153226819389952,66890,167.06008,-58.65322,0.676,13.384,1.757,5.4437,0.3331,0.025,3,1,167.06008,-58.65322,5302.3
320122,5338641845015187328,74612,167.02358,-58.92692,1.323,16.367,3.195,12.9745,0.9837,0.0487,3,0,167.02358,-58.92692,4434.7
415233,5340157075110216192,81066,166.98542,-58.56692,1.425,16.956,3.484,12.6919,1.4906,0.03,3,0,166.98542,-58.56692,4316.3
318475,5340145427158100864,84732,166.96892,-58.7445,1.008,15.224,2.346,5.4398,0.8032,0.091,3,0,166.96892,-58.7445,4772.0
414429,5340150443680126848,87263,166.95421,-58.65578,1.464,17.841,3.889,17.052,1.6373,0.0323,3,0,166.95421,-58.65578,3844.6
414007,5340150649838613760,90088,166.93908,-58.62508,1.268,16.133,2.963,11.1415,0.6635,0.0273,3,0,166.93908,-58.62508,4497.9
317342,5338643253764519168,91871,166.93408,-58.87517,1.397,17.133,3.619,13.5411,3.7858,0.07,3,0,166.93408,-58.87517,4111.3
413467,5340157521786915968,93581,166.91987,-58.50122,0.921,14.959,2.185,8.3381,0.7079,0.022,3,0,166.91987,-58.50122,5013.7
410530,5340151577551470720,113851,166.82012,-58.61783,1.429,17.157,3.546,12.8682,1.1375,0.0336,3,0,166.82012,-58.61783,4182.5
409652,5340170337970754944,120084,166.78675,-58.46447,0.934,14.939,2.277,9.2326,1.0439,0.017,3,0,166.78675,-58.46447,4888.4
408382,5340149206729221760,129415,166.74133,-58.69931,0.83,14.453,2.025,7.4903,0.6586,0.016,3,0,166.74133,-58.69931,5141.8
310480,5340149034930385664,130527,166.736,-58.75039,0.54,12.931,1.322,4.9462,1.5873,0.016,3,0,166.736,-58.75039,6083.9
408008,5340149825204648320,131990,166.72712,-58.64614,0.728,13.916,1.891,6.7506,0.6621,0.019,3,1,166.72712,-58.64614,5424.8
309433,5340149099313773312,136455,166.70433,-58.73583,0.554,12.967,1.36,4.4671,0.652,0.027,3,0,166.70433,-58.73583,5916.8
522632,5340172949311127936,141041,166.67629,-58.38294,1.036,15.236,2.376,9.2871,0.4821,0.0186,3,0,166.67629,-58.38294,4734.3
406567,5340161473157492352,141910,166.67383,-58.65556,0.852,14.392,1.959,7.4126,0.4303,0.0184,3,0,166.67383,-58.65556,5149.9
308047,5338647308213601408,144241,166.66229,-58.79539,1.41,16.874,3.407,11.002,1.1582,0.0292,3,0,166.66229,-58.79539,4154.2
729518,5338635213584387072,144529,166.66342,-59.13008,0.618,13.355,1.508,4.6871,0.9176,0.0311,3,0,166.66342,-59.13008,5718.3
307859,5338645074830317056,145504,166.65617,-58.89439,1.407,17.911,3.938,32.0,3.2,0.0325,3,1,166.65617,-58.89439,
405983,5340164084497918080,145537,166.65304,-58.51694,1.431,17.222,3.542,12.8513,0.721,0.0344,3,0,166.65304,-58.51694,4188.9
405587,5340161816754900096,148409,166.63812,-58.61547,1.457,17.035,3.469,11.986,2.7615,0.0286,3,0,166.63812,-58.61547,4224.5
405288,5340161679315925376,150588,166.62587,-58.63628,1.223,15.908,2.825,10.4609,0.487,0.018,3,0,166.62587,-58.63628,4498.5
405260,5340170819007248640,150595,166.62475,-58.477,1.421,17.209,3.813,13.0,1.5625,0.0215,3,1,166.62475,-58.477,
519660,5340173430347270656,154117,166.60629,-58.32619,1.42,17.016,3.597,13.714,0.6526,0.0147,3,0,166.60629,-58.32619,4153.6
404760,5340161335718508800,154924,166.60437,-58.66236,0.604,13.161,1.432,6.4749,0.4286,0.0224,3,0,166.60437,-58.66236,5742.3
305936,5338657513057476864,156779,166.59537,-58.80778,1.442,16.895,3.417,15.01,1.3576,0.038,3,0,166.59537,-58.80778,4159.5
305550,5338650847267616512,159268,166.58325,-58.91253,1.342,16.399,3.166,12.903,1.0129,0.0212,3,0,166.58325,-58.91253,4423.4
305440,5338650709828598528,159960,166.57958,-58.94506,1.009,15.139,2.376,9.0518,1.8245,0.0203,3,0,166.57958,-58.94506,4743.4
305168,5338650297511685760,161627,166.57017,-58.96772,1.232,15.851,3.09,10.8075,0.4701,0.0215,3,1,166.57017,-58.96772,4219.1
516019,5340174701657369344,169100,166.52458,-58.36119,0.637,13.457,1.495,5.1992,0.6729,0.0311,3,0,166.52458,-58.36119,5557.5
302744,5338657856654734720,175207,166.49104,-58.8475,0.845,14.439,1.942,7.661,0.4331,0.0223,3,0,166.49104,-58.8475,5147.7
302250,5338658578209340672,178023,166.47387,-58.77842,0.765,14.079,1.834,5.2748,0.1116,0.023,3,0,166.47387,-58.77842,5337.0
401411,5340162293453729152,179867,166.46267,-58.63022,1.488,18.09,4.11,22.0,6.2156,0.051,3,0,166.46267,-58.63022,3775.4
401184,5340167520471632640,181358,166.45346,-58.51431,1.042,15.305,2.437,8.9815,0.3236,0.0186,3,0,166.45346,-58.51431,4673.8
301335,5338649747755780224,183595,166.44067,-58.966,0.987,15.112,2.472,7.7549,1.0193,0.0254,3,0,166.44067,-58.966,4762.8
301100,5338651255238326656,184783,166.43333,-58.94028,1.423,17.601,3.941,16.8048,2.9421,0.039,3,0,166.43333,-58.94028,4071.8
400599,5340166111722333184,185777,166.42646,-58.53769,1.074,15.482,2.534,10.0984,1.8619,0.023,3,0,166.42646,-58.53769,4647.1
214490,5338658853087265920,186575,166.42179,-58.75019,0.985,15.077,2.269,8.7956,0.5738,0.0716,3,0,166.42179,-58.75019,4919.8
214166,5338658097172875392,188616,166.4095,-58.83606,1.416,17.044,3.577,20.0626,2.8549,0.041,3,0,166.4095,-58.83606,4118.3
213861,5338649816475268224,190424,166.39837,-58.94589,1.237,16.03,2.89,12.0351,1.9669,0.0216,3,0,166.39837,-58.94589,4500.1
110779,5338663938328901504,191173,166.39358,-58.64969,1.103,15.603,2.634,9.8274,0.5488,0.0162,3,0,166.39358,-58.64969,4573.8
110769,5338664316286031616,191296,166.39283,-58.60811,1.431,17.307,3.608,15.4336,2.8126,0.0331,3,0,166.39283,-58.60811,4116.5
510233,5340175354492378496,192409,166.38617,-58.34122,0.776,14.094,1.865,6.964,0.5839,0.019,3,0,166.38617,-58.34122,5315.6
212831,5338625592857198976,196376,166.36121,-59.05608,1.313,16.663,3.377,11.6545,2.0888,0.0296,3,0,166.36121,-59.05608,4355.6
212371,5338625833375389056,199382,166.34258,-59.03992,1.093,15.408,2.439,10.6028,0.9157,0.025,3,0,166.34258,-59.03992,
212107,5338654691212522368,201054,166.33212,-58.87267,1.0,15.065,2.329,9.7638,0.4971,0.0372,3,0,166.33212,-58.87267,
109603,5338663697810677504,201099,166.33212,-58.67247,0.522,12.791,1.332,4.5148,0.9867,0.015,3,1,166.33212,-58.67247,6011.9
211894,5338655176594612992,202511,166.32304,-58.84003,1.371,16.598,3.253,12.5262,1.8738,0.0261,3,0,166.32304,-58.84003,4340.6
211658,5338655520192048512,204066,166.31337,-58.80889,0.516,12.673,1.259,3.2917,0.539,0.03,3,0,166.31337,-58.80889,6034.9
108848,5340167176873943296,207633,166.29146,-58.49719,0.551,13.08,1.396,4.8479,0.4678,0.024,3,0,166.29146,-58.49719,5815.4
108355,5340166833276551168,211433,166.2675,-58.51683,0.74,14.043,1.753,6.1728,0.4964,0.0272,3,0,166.2675,-58.51683,5316.0
108162,5340214180992306432,212924,166.25754,-58.48514,0.592,13.322,1.579,5.2722,0.182,0.0341,3,0,166.25754,-58.48514,5747.3
107874,5338662323421039104,214755,166.24404,-58.74742,0.546,12.965,1.352,4.7778,0.609,0.015,3,0,166.24404,-58.74742,5943.7
503929,5340216276936396544,217837,166.22508,-58.37406,0.709,13.749,1.667,6.5327,0.546,0.032,3,0,166.22508,-58.37406,5536.2
107435,5338662667018417280,218261,166.22042,-58.70492,0.806,14.41,1.975,7.6773,0.7911,0.0163,3,0,166.22042,-58.70492,5220.1
107376,5338664762962699904,218758,166.21762,-58.64056,1.102,15.507,2.584,9.4883,2.7994,0.015,3,0,166.21762,-58.64056,4664.3
107147,5338662667018408448,220428,166.207,-58.69647,0.543,12.786,1.255,2.8908,0.154,0.0222,3,0,166.207,-58.69647,5896.4
502640,5340216208216902272,223849,166.18742,-58.39264,1.047,14.667,2.568,6.3955,0.341,0.0389,3,1,166.18742,-58.39264,4646.7
106477,5340213901780626816,225503,166.17412,-58.51156,0.7,13.727,1.635,5.7549,0.4486,0.0243,3,0,166.17412,-58.51156,5611.3
208000,5338655898149232256,226711,166.16279,-58.83264,1.141,15.462,2.637,11.5064,1.6381,0.031,3,0,166.16279,-58.83264,4545.2
106173,5338710255248925184,227469,166.15817,-58.64139,0.962,14.851,2.17,8.0192,1.4174,0.0151,3,0,166.15817,-58.64139,4804.5
105984,5338703623819404160,228709,166.14871,-58.73117,1.341,16.979,3.453,13.934,0.917,0.0386,3,0,166.14871,-58.73117,4104.8
105807,5340214112272822016,230105,166.14008,-58.45922,1.33,16.319,3.248,11.7108,0.8482,0.0254,3,1,166.14008,-58.45922,4210.9
105602,5340214009193591808,231539,166.12975,-58.48019,0.691,13.773,1.635,5.8891,0.2408,0.028,3,0,166.12975,-58.48019,5586.8
701193,5338619786060507136,231544,166.12408,-59.22761,0.897,14.614,2.045,7.4858,0.3034,0.0452,3,0,166.12408,-59.22761,4930.0
206675,5338653802205155584,234664,166.10358,-58.90528,1.237,16.143,2.953,11.293,1.8956,0.0182,3,0,166.10358,-58.90528,
206633,5338702902264853248,235056,166.10162,-58.80981,0.668,13.402,1.505,4.6832,1.0922,0.0271,3,0,166.10162,-58.80981,5698.6
104211,5338703726898560384,240665,166.06117,-58.74661,1.378,16.998,3.438,14.5093,1.5894,0.0216,3,0,166.06117,-58.74661,4350.3
103920,5338703829977301248,242886,166.04496,-58.72328,1.052,15.391,2.525,11.7218,1.5082,0.0122,3,0,166.04496,-58.72328,4629.6
103765,5338704723330530048,244108,166.03654,-58.68747,1.294,16.281,3.145,14.8128,2.4515,0.0192,3,0,166.03654,-58.68747,4473.2
205142,5338701699673957888,244323,166.03392,-58.79339,1.238,16.062,2.959,10.6966,1.1631,0.0201,3,0,166.03392,-58.79339,4498.9
103352,5338704585891552000,247067,166.01458,-58.70508,1.389,16.574,3.589,17.9713,2.0441,0.017,3,1,166.01458,-58.70508,4204.1
204593,5338701734033673344,247421,166.011,-58.80236,1.458,17.574,3.671,18.9216,5.3852,0.027,3,0,166.011,-58.80236,
103179,5338713171488089856,248532,166.00562,-58.53508,1.469,17.578,3.868,14.1605,1.9325,0.0551,3,0,166.00562,-58.53508,4104.6
204097,5338701630954436992,250278,165.98962,-58.80442,1.296,16.265,3.028,10.5572,0.937,0.026,3,0,165.98962,-58.80442,4445.1
203897,5338702489947892608,251545,165.97975,-58.79142,1.405,16.925,3.43,12.9347,2.4276,0.0232,3,0,165.97975,-58.79142,4195.5
203551,5338676921962883200,253475,165.96325,-58.95767,0.75,13.542,1.867,5.9034,0.6895,0.0251,3,1,165.96325,-58.95767,5659.5
203539,5338701940192055040,253683,165.963,-58.84444,1.355,16.569,3.305,12.4283,0.6715,0.028,3,1,165.963,-58.84444,4244.9
102460,5338710873723718784,253809,165.9645,-58.64342,0.556,13.073,1.359,5.114,1.3196,0.023,3,0,165.9645,-58.64342,5929.8
102340,5338711114241927552,254747,165.95783,-58.60214,0.651,13.466,1.497,5.0986,0.8178,0.0521,3,0,165.95783,-58.60214,5808.0
102057,5338704448452577792,256846,165.94,-58.70058,0.731,13.98,1.71,6.3439,0.616,0.0181,3,0,165.94,-58.70058,5367.8
101964,5338705066927916800,257686,165.93396,-58.64717,0.691,13.887,1.706,6.2182,0.3121,0.0268,3,0,165.93396,-58.64717,5325.2
101896,5338704929488942464,258183,165.92954,-58.66733,0.654,13.696,1.557,6.6991,0.651,0.0183,3,0,165.92954,-58.66733,5691.7
101814,5338714683316594304,258981,165.92529,-58.52133,0.614,13.334,1.473,4.7277,0.7279,0.019,3,0,165.92529,-58.52133,5578.8
202342,5338702107651705088,260438,165.90962,-58.82689,0.603,13.096,1.377,4.5592,0.6293,0.017,3,0,165.90962,-58.82689,5726.7
101401,5338716405641235968,262163,165.90075,-58.49183,0.795,14.299,1.887,7.1078,1.2389,0.023,3,0,165.90075,-58.49183,5226.0
101285,5338714756373717504,263118,165.8925,-58.53669,0.929,14.914,2.261,8.9634,0.7575,0.0251,3,0,165.8925,-58.53669,
201903,5338702279450487552,263188,165.88804,-58.80292,0.59,13.097,1.326,4.8358,0.518,0.015,3,1,165.88804,-58.80292,5684.1
201531,5338678472499771520,265201,165.87004,-58.87181,0.86,14.503,2.094,8.7928,0.6117,0.02,3,1,165.87004,-58.87181,4880.8
200429,5338705200028317312,271443,165.81858,-58.78544,0.555,12.762,1.195,3.5768,0.091,0.014,3,0,165.81858,-58.78544,6044.6
200277,5338681599235742848,272312,165.81025,-58.837,1.37,16.663,3.287,13.2403,0.9118,0.0223,3,0,165.81025,-58.837,4395.3
200048,5338681049479884672,273672,165.79792,-58.88142,1.003,15.13,2.356,9.1782,0.5815,0.015,3,0,165.79792,-58.88142,4777.3
100074,5338715031252082816,273711,165.80296,-58.56375,1.386,16.775,3.359,9.278,0.261,0.022,3,0,165.80296,-58.56375,4234.4
808727,5338706746216708992,279358,165.74958,-58.72383,1.386,16.863,3.459,11.155,0.5419,0.012,3,0,165.74958,-58.72383,4166.3
808075,5338681839753909376,280875,165.73304,-58.81247,1.294,16.215,2.976,11.3489,1.1925,0.0148,3,0,165.73304,-58.81247,4443.2
807902,5338706235158852224,281442,165.72867,-58.76125,1.265,16.236,3.052,12.0949,0.6943,0.012,3,0,165.72867,-58.76125,4471.2
802295,5338680190486326144,299782,165.55558,-58.90439,0.641,13.668,1.612,6.0808,1.2566,0.027,3,0,165.55558,-58.90439,5628.3
801059,5338686100362366208,305389,165.49908,-58.90817,1.475,18.527,4.187,27.0,3.5876,0.0208,3,0,165.49908,-58.90817,3664.0
618304,5339401878083600256,16803,167.33275,-58.67397,0.967,14.398,2.274,8.2312,0.1914,0.0213,2,1,167.33275,-58.67397,4820.2
615524,5339393292496113408,36014,167.23092,-58.85203,1.422,17.463,3.772,10.3202,0.9555,0.0166,2,0,167.23092,-58.85203,3934.4
615023,5339393292496121856,38427,167.21754,-58.84442,1.102,15.517,2.581,10.4707,0.3513,0.0207,1,0,167.21754,-58.84442,4587.9
614028,5339394873021033600,42959,167.19217,-58.8055,0.962,14.979,2.222,8.9009,0.2568,0.021,2,0,167.19217,-58.8055,4849.5
610761,5340145873834802304,58032,167.10996,-58.75636,1.488,18.296,4.211,5.4992,0.0512,0.029,2,0,167.10996,-58.75636,3596.2
607456,5340146801547783168,72253,167.03204,-58.71258,1.425,16.894,3.416,11.6002,0.448,0.02,2,0,167.03204,-58.71258,4310.2
416025;408601,5340146973346422400,75186,167.01712,-58.72664,0.864,14.437,1.949,7.7074,0.274,0.041,1,0,167.01712,-58.72664,5151.2
414259;407982,5340156555397021440,88297,166.94779,-58.59242,0.786,14.077,1.942,8.1478,0.1416,0.021,1,0,166.94779,-58.59242,5436.4
317396;310557,5338640470625323264,91700,166.937,-59.00836,1.349,16.48,3.165,12.1241,0.3113,0.0275,2,0,166.937,-59.00836,4425.7
413554;407676,5340150100082689408,93271,166.92392,-58.66603,1.43,17.093,3.55,12.6194,0.2772,0.027,0,0,166.92392,-58.66603,4154.3
316240;309964,5338641192179971200,98040,166.90417,-58.95014,0.605,12.454,1.439,4.3064,0.4989,0.0161,2,1,166.90417,-58.95014,5631.9
315823;309712,5338642772728010880,100275,166.89221,-58.9195,1.352,16.602,3.167,12.734,1.582,0.0192,2,0,166.89221,-58.9195,4418.3
412457;407109,5340147901059140480,101262,166.88487,-58.75953,1.361,16.288,3.478,6.4719,0.1998,0.0255,1,1,166.88487,-58.75953,4126.1
412221;406972,5340158140262144256,102441,166.8755,-58.513,0.661,13.537,1.619,5.6298,0.0875,0.021,1,0,166.8755,-58.513,5653.6
412093;406897,5340150374960612096,103456,166.87233,-58.64253,0.96,14.872,2.273,8.2882,0.0894,0.0306,1,0,166.87233,-58.64253,4913.0
313744;308447,5338643528641955584,112216,166.833,-58.99964,0.868,14.045,2.144,6.1255,0.4491,0.016,2,1,166.833,-58.99964,4986.2
313598;308343,5338646586659199360,112775,166.828,-58.81742,0.723,13.785,1.588,6.1783,0.1329,0.022,1,0,166.828,-58.81742,5366.4
313570;308327,5338644147117395328,113128,166.82792,-58.95006,1.322,16.569,3.227,13.0016,1.442,0.0231,2,0,166.82792,-58.95006,4412.9
410068;405636,5340151951168504448,117093,166.80321,-58.56858,0.796,14.263,1.888,7.4053,0.0713,0.028,1,0,166.80321,-58.56858,5243.3
409952;405561,5340148927515092352,118143,166.79967,-58.72544,1.322,16.731,3.614,0.8373,0.0017,0.0413,1,1,166.79967,-58.72544,5014.8
312595;307659,5338646621018893696,118500,166.79904,-58.82303,1.3,16.286,3.252,10.2487,0.3116,0.042,1,1,166.79904,-58.82303,
312484;307592,5338646208701929856,119177,166.79604,-58.85714,1.224,16.28,3.373,1.9743,0.0136,0.036,1,0,166.79604,-58.85714,
312523;307618,5338643631721180160,119186,166.7975,-58.98453,1.002,15.118,2.452,8.3342,0.2382,0.019,1,0,166.7975,-58.98453,4722.7
409666;405379,5340157934103590784,120087,166.78754,-58.53494,0.651,13.543,1.583,5.7008,0.3693,0.025,1,0,166.78754,-58.53494,5496.5
409665;405378,5340151027795531136,120294,166.78792,-58.65317,0.785,14.143,1.859,7.0905,0.1429,0.022,1,1,166.78792,-58.65317,5367.8
409250;405107,5340151852429410688,123120,166.77304,-58.58775,0.958,15.074,2.43,5.499,0.036,0.0786,1,0,166.77304,-58.58775,4888.9
409238;405097,5340149756485184512,123294,166.77296,-58.65753,1.304,16.337,3.078,11.9567,0.5113,0.047,1,0,166.77296,-58.65753,4449.3
311820;307140,5338637928004227840,123324,166.77654,-58.9935,0.842,14.402,2.026,7.1269,0.3272,0.021,1,0,166.77654,-58.9935,5049.5
311530;306940,5338644456355100288,124726,166.76829,-58.90758,1.153,15.708,3.113,8.1801,0.2016,0.022,2,1,166.76829,-58.90758,4488.0
408832;404823,5340169788214923136,125919,166.75737,-58.50775,0.701,13.777,1.674,5.6718,0.5847,0.0213,2,0,166.75737,-58.50775,5559.4
408565;404647,5340151440112463360,128008,166.74783,-58.61244,1.194,15.77,2.839,9.8212,0.2783,0.0205,1,0,166.74783,-58.61244,4466.4
310365;306110,5338637378248240768,131583,166.73321,-59.04083,1.334,16.325,3.132,12.3472,0.6494,0.0309,1,0,166.73321,-59.04083,4318.7
310085;305906,5338637824924904448,133057,166.725,-59.01581,0.925,14.832,2.231,5.9172,0.037,0.0472,1,0,166.725,-59.01581,4939.7
407294;403780,5340161576236740480,136896,166.70104,-58.62819,0.892,14.561,1.998,7.5786,0.5601,0.018,1,0,166.70104,-58.62819,5031.8
523342,5340172983670865664,137605,166.695,-58.38417,0.883,14.576,2.084,8.7033,0.2566,0.0192,0,0,166.695,-58.38417,5054.6
407097;403643,5340169960013613568,138051,166.69354,-58.48875,1.248,16.435,3.118,2.3923,0.1558,0.0376,1,1,166.69354,-58.48875,4239.7
406309;403122,5340164118857681536,143407,166.66433,-58.49936,1.059,15.31,2.676,10.1649,0.2301,0.0184,2,1,166.66433,-58.49936,4627.2
406303;403119,5340161090862579712,143715,166.66404,-58.66617,0.867,14.453,1.999,8.0823,0.6592,0.0203,2,0,166.66404,-58.66617,5098.5
